RunID,AgentID,EvacuationStep,EvacuationTime
run001,-1250088,26,7.80
run001,-1250256,28,8.40
run001,-1250312,29,8.71
run001,-1250480,29,8.71
run001,-1249738,30,9.00
run001,-1249934,30,9.00
run001,-1249948,30,9.00
run001,-1250340,31,9.31
run001,-1250396,32,9.60
run001,-1249724,33,9.90
run001,-1249990,34,10.20
run001,-1250424,36,10.81
run001,-1250522,37,11.10
run001,-1250060,38,11.40
run001,-1250382,39,11.70
run001,-1250214,42,12.60
run001,-1251354,2,0.61
run001,-1250920,9,2.70
run001,-1250598,11,3.31
run001,-1250612,13,3.90
run001,-1251200,13,3.90
run001,-1251256,13,3.90
run001,-1250626,14,4.20
run001,-1251312,14,4.20
run001,-1250738,15,4.50
run001,-1251172,15,4.50
run001,-1250850,16,4.81
run001,-1250934,16,4.81
run001,-1250752,17,5.10
run001,-1250808,17,5.10
run001,-1251186,17,5.10
run001,-1251340,17,5.10
run001,-1250640,18,5.41
run001,-1251004,18,5.41
run001,-1251018,18,5.41
run001,-1250822,19,5.70
run001,-1250892,19,5.70
run001,-1250962,19,5.70
run001,-1251228,19,5.70
run001,-1250570,20,6.00
run001,-1250906,20,6.00
run001,-1251046,20,6.00
run001,-1251284,20,6.00
run001,-1250584,21,6.30
run001,-1250780,21,6.30
run001,-1250794,22,6.60
run001,-1251032,22,6.60
run001,-1251074,22,6.60
run001,-1251130,22,6.60
run001,-1251326,22,6.60
run001,-1250864,23,6.91
run001,-1251144,23,6.91
run001,-1251242,23,6.91
run001,-1251382,23,6.91
run001,-1250948,24,7.20
run001,-1251214,24,7.20
run001,-1251396,24,7.20
run001,-1250878,25,7.51
run001,-1250990,25,7.51
run001,-1250654,26,7.80
run001,-1250766,26,7.80
run001,-1251102,26,7.80
run001,-1251368,27,8.10
run001,-1250710,28,8.40
run001,-1250682,29,8.71
run001,-1250696,29,8.71
run001,-1251060,29,8.71
run001,-1251116,29,8.71
run001,-1251270,29,8.71
run001,-1250668,31,9.30
run001,-1250836,31,9.30
run001,-1250724,32,9.60
run001,-1251088,32,9.60
run001,-1251298,33,9.90
run001,-1250976,39,11.70
run001,-1251794,8,2.40
run001,-1251514,10,3.00
run001,-1251948,11,3.31
run001,-1252186,11,3.31
run001,-1251486,12,3.60
run001,-1251766,12,3.60
run001,-1251822,12,3.60
run001,-1251850,12,3.60
run001,-1251458,13,3.91
run001,-1251668,13,3.91
run001,-1251542,14,4.20
run001,-1251990,14,4.20
run001,-1252116,14,4.20
run001,-1251598,15,4.51
run001,-1251780,15,4.51
run001,-1251864,15,4.51
run001,-1251836,16,4.80
run001,-1251654,17,5.11
run001,-1252228,17,5.11
